"prev","region","abbr"
0.565133328723908,3,"AL"
0.629733346684774,4,"AK"
0.613366670163472,4,"AZ"
0.539733344459534,3,"AR"
0.543666702906291,4,"CA"
0.584566701952616,4,"CO"
0.566633343823751,1,"CT"
0.534600032583872,1,"DE"
0.152999997138977,5,"DC"
0.611633290735881,3,"FL"
0.523033343982697,3,"GA"
0.518299977588654,4,"HI"
0.657366662693024,4,"ID"
0.537000003655752,2,"IL"
0.581833334445953,2,"IN"
0.524800026067098,2,"IA"
0.602099974091848,2,"KS"
0.529166691144307,3,"KY"
0.584099987602234,3,"LA"
0.549599981244405,1,"ME"
0.501166654507319,1,"MD"
0.489766651884715,1,"MA"
0.548066697978973,2,"MI"
0.505500021378199,2,"MN"
0.582999997297923,3,"MS"
0.533566686375936,2,"MO"
0.570766682402293,4,"MT"
0.665466688283284,2,"NE"
0.603833326975505,4,"NV"
0.632033331902822,1,"NH"
0.564166665871938,1,"NJ"
0.547800015417735,4,"NM"
0.52436664425532,1,"NY"
0.571833309491475,3,"NC"
0.614366671593984,2,"ND"
0.552200000635783,2,"OH"
0.603233325068156,3,"OK"
0.544333343505859,4,"OR"
0.526566670163472,1,"PA"
0.478700007629395,1,"RI"
0.572766618665059,3,"SC"
0.599733334604899,2,"SD"
0.554300017801921,3,"TN"
0.594033358287811,3,"TX"
0.692699998092651,4,"UT"
0.559299989509582,1,"VT"
0.608066638533274,3,"VA"
0.554433295345306,4,"WA"
0.493566658401489,1,"WV"
0.527833360989889,2,"WI"
0.633833340326945,4,"WY"
